维度,子项,满分,零基础合格(40%),省赛达标(60%),国青达标(80%),国家队(95%),评估方法,学术依据
空枪定型,持枪姿态框架,20,8,12,16,19,视频+教练评分,Ihalainen 2016
空枪定型,手部微稳定,20,8,12,16,19,叠弹壳+空枪控抖测试,Era 1996
空枪定型,瞄准标准化,20,8,12,16,19,准星平正+焦点锁定测试,Ihalainen 2016
空枪定型,击发规范,20,8,12,16,19,空扣匀速+屏息+跟随动作,Koykka 2022
空枪定型,呼吸控制,20,8,12,16,19,屏息时长+高心率调节,Park 2019
实弹射击,常规轮次,25,10,15,20,24,60发总分+10发分组记录,Lang & Zhou 2024
实弹射击,决赛高压,25,10,15,20,24,淘汰制模拟得分率,Konttinen 1998
实弹射击,抗干扰,20,8,12,16,19,噪音/盲打/异地得分保持,Mullineaux 2012
实弹射击,团体协同,15,6,9,12,14,混团同步呼吸击发评分,Ihalainen 2016b
实弹射击,数据复盘,15,6,9,12,14,靶纸拆解+录像分析,Ball 2003
专项体能,核心稳定,30,12,18,24,29,平板支撑+侧支撑,Zemkova 2022
专项体能,肩颈手臂静力,25,10,15,20,24,负重托举持续时间,Lee & Shin 2025
专项体能,平衡前庭,25,10,15,20,24,单脚站立+动态平衡,Hrysomallis 2011
专项体能,有氧心肺,20,8,12,16,19,静息心率+恢复速率,Sadowska 2019
高压心理,对抗压模拟,25,10,15,20,24,落后/失误场景恢复,Doppelmayr 2008
高压心理,可视化能力,20,8,12,16,19,赛事流程冥想完整度,Hwang 2025
高压心理,情绪调节,25,10,15,20,24,心态记录/波动控制,Konttinen 2000
高压心理,仪式固化,15,6,9,12,14,固定手势/呼吸一致性,Doppelmayr 2008
高压心理,疲劳射击,15,6,9,12,14,极限疲劳下得分保持率,Koykka 2021
装备适配,枪械调试,35,14,21,28,33,扳机/枪托/配重/贴腮板,Spancken 2021
装备适配,皮衣护具,35,14,21,28,33,皮衣/护木/拳托调整,Spancken 2021
装备适配,新规适应,30,12,18,24,29,规则变更后框架重建,ISSF
